factor_name,feature_family,factor_level,coefficient,odds_ratio,association,summary_scope,support_view,group_rows,comparison_rows,group_avg_conversion_rate,comparison_avg_conversion_rate,group_positive_rate,comparison_positive_rate,positive_rate_rank_within_family,family_levels_count,interpretation_reference_note,positive_class_mean_value,negative_class_mean_value
user type new user,user_type,new_user,-0.5507507525633654,0.57651682638367,negative,full dataset with target threshold fixed from training median,new_user versus all other levels in user_type,32400,64800,0.0643357897367861,0.07521684639417803,0.36944444444444446,0.5747685185185185,3.0,3.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
traffic source recommendation,traffic_source,recommendation,-0.2149681184042532,0.806567154415379,negative,full dataset with target threshold fixed from training median,recommendation versus all other levels in traffic_source,24300,72900,0.06924349950934201,0.0723719368413936,0.4596296296296296,0.5218930041152263,3.0,4.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
traffic source follow,traffic_source,follow,-0.1933187006864254,0.8242192530349265,negative,full dataset with target threshold fixed from training median,follow versus all other levels in traffic_source,24300,72900,0.0683759625421132,0.0726611158304699,0.45267489711934156,0.5242112482853224,4.0,4.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
traffic source nearby,traffic_source,nearby,-0.18881609619222936,0.8279387537843166,negative,full dataset with target threshold fixed from training median,nearby versus all other levels in traffic_source,24300,72900,0.06919183805930666,0.07238915732473872,0.4611522633744856,0.5213854595336077,2.0,4.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
experiment group A,experiment_group,A,-0.02820885439686876,0.9721853004217677,negative,full dataset with target threshold fixed from training median,A versus all other levels in experiment_group,48600,48600,0.07083171200679154,0.07234794300996988,0.49195473251028804,0.5206995884773663,2.0,2.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
traffic source search,traffic_source,search,0.5984612878901135,1.819317240076843,positive,full dataset with target threshold fixed from training median,search versus all other levels in traffic_source,24300,72900,0.07954800992276097,0.06893710003692062,0.6518518518518519,0.45781893004115226,1.0,4.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
user type active user,user_type,active_user,0.3185712502872306,1.375161598352223,positive,full dataset with target threshold fixed from training median,active_user versus all other levels in user_type,32400,64800,0.07527551099883156,0.06974698576315529,0.5849382716049383,0.4670216049382716,1.0,3.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
user type returning user,user_type,returning_user,0.23353787488334019,1.263060665260338,positive,full dataset with target threshold fixed from training median,returning_user versus all other levels in user_type,32400,64800,0.07515818178952449,0.06980565036780882,0.5645987654320987,0.47719135802469137,2.0,3.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
experiment group B,experiment_group,B,0.029567227004076515,1.0300086775419612,positive,full dataset with target threshold fixed from training median,B versus all other levels in experiment_group,48600,48600,0.07234794300996988,0.07083171200679154,0.5206995884773663,0.49195473251028804,1.0,2.0,"Because all category levels are one-hot encoded without dropping a single baseline, this is best read as a directional contribution rather than a strict omitted-category contrast.",,
session uv,session_uv,higher values,0.025924222630412958,1.0262631780027254,positive,full dataset with target threshold fixed from training median,top quartile (651.00+) versus bottom quartile (397.00 and below),24431,24404,0.07268124420735013,0.07032892448681026,0.5349351234087839,0.4804950008195378,,,"This numeric coefficient is applied after standardization, so it represents the direction of the log-odds change for higher session UV rather than a binary category jump.",552.529980696942,536.3446493695947
