variable,dtype,category
date,object,categorical
week_day,object,categorical
hour_bucket,object,categorical
content_category,object,categorical
traffic_source,object,categorical
user_type,object,categorical
city_tier,object,categorical
experiment_group,object,categorical
content_supply_cnt,int64,numeric
exposure,int64,numeric
click,int64,numeric
view_complete,int64,numeric
like_cnt,int64,numeric
comment_cnt,int64,numeric
share_cnt,int64,numeric
report_cnt,int64,numeric
conversion_cnt,int64,numeric
avg_watch_seconds,float64,numeric
monetization_revenue,float64,numeric
session_uv,int64,numeric
